# Voice Name,Bank Select MSB,Bank Select LSB,MIDI Program Change#
XGlite Click Synth Bass,0,18,40
XGlite Synth Bass 2 Dark,0,19,40
XGlite Smooth Synth Bass,0,32,40
XGlite Modular Synth Bass,0,40,40
XGlite DX Bass,0,41,40
XGlite X Wire Bass,0,64,40
XGlite Violin,0,0,41
XGlite Slow Violin,0,8,41
XGlite Viola,0,0,42
XGlite Cello,0,0,43
XGlite Contrabass,0,0,44
XGlite Tremolo Strings,0,0,45
XGlite Slow Tremolo Strings,0,8,45
XGlite Suspense Strings,0,40,45
XGlite Pizzicato Strings,0,0,46
XGlite Orchestral Harp,0,0,47
XGlite Timpani,0,0,48
XGlite Strings 1,0,0,49
XGlite Stereo Strings,0,3,49
XGlite Slow Strings,0,8,49
XGlite Arco Strings,0,24,49
XGlite 60s Strings,0,35,49
XGlite Orchestra 1,0,40,49
XGlite Orchestra 2,0,41,49
XGlite Tremolo Orchestra,0,42,49
XGlite Velocity Strings,0,45,49
XGlite Strings 2,0,0,50
XGlite Stereo Slow Strings,0,3,50
XGlite Legato Strings,0,8,50
XGlite Warm Strings,0,40,50
XGlite Kingdom,0,41,50
XGlite 70s Strings,0,64,50
XGlite Strings 3,0,65,50
XGlite Synth Strings 1,0,0,51
XGlite Resonant Strings,0,27,51
XGlite Synth Strings 4,0,64,51
XGlite Synth Strings 5,0,65,51
XGlite Synth Strings 2,0,0,52
XGlite Choir Aahs 1,0,0,53
XGlite Stereo Choir,0,3,53
XGlite Mellow Choir,0,32,53
XGlite Choir Aahs 2,0,16,53
XGlite Choir Strings,0,40,53
XGlite Voice Oohs,0,0,54
XGlite Synth Voice 1,0,0,55
XGlite Synth Voice 2,0,40,55
XGlite Choral,0,41,55
XGlite Analog Voice,0,64,55
XGlite Orchestra Hit 1,0,0,56
XGlite Orchestra Hit 2,0,35,56
XGlite Impact,0,64,56
XGlite Trumpet 1,0,0,57
XGlite Trumpet 2,0,16,57
XGlite Bright Trumpet,0,17,57
XGlite Warm Trumpet,0,32,57
XGlite Trombone 1,0,0,58
XGlite Trombone 2,0,18,58
XGlite Tuba 1,0,0,59
XGlite Tuba 2,0,16,59
XGlite Muted Trumpet,0,0,60
XGlite French Horn 1,0,0,61
XGlite French Horn Solo,0,6,61
XGlite French Horn 2,0,32,61
XGlite Horn Orchestra,0,37,61
XGlite Brass Section 1,0,0,62
XGlite Trumpet & Trombone Section,0,35,62
XGlite Brass Section 2,0,40,62
XGlite High Brass,0,41,62
XGlite Mellow Brass,0,42,62
XGlite Synth Brass 1,0,0,63
XGlite Quack Brass,0,12,63
XGlite Resonant Synth Brass,0,20,63
XGlite Poly Brass,0,24,63
XGlite Synth Brass 3,0,27,63
XGlite Jump Brass,0,32,63
XGlite Analog Velocity Brass 1,0,45,63
XGlite Analog Brass 1,0,64,63
XGlite Synth Brass 2,0,0,64
XGlite Soft Brass,0,18,64
XGlite Synth Brass 4,0,40,64
XGlite Choir Brass,0,41,64
XGlite Analog Velocity Brass 2,0,45,64
XGlite Analog Brass 2,0,64,64
XGlite Soprano Sax,0,0,65
XGlite Alto Sax,0,0,66
XGlite Sax Section,0,40,66
XGlite Hyper Alto Sax,0,43,66
XGlite Tenor Sax 1,0,0,67
XGlite Breathy Tenor Sax,0,40,67
XGlite Soft Tenor Sax,0,41,67
XGlite Tenor Sax 2,0,64,67
XGlite Baritone Sax,0,0,68
XGlite Oboe,0,0,69
XGlite English Horn,0,0,70
XGlite Bassoon,0,0,71
XGlite Clarinet,0,0,72
XGlite Piccolo,0,0,73
XGlite Flute,0,0,74
XGlite Recorder,0,0,75
XGlite Pan Flute,0,0,76
XGlite Blown Bottle,0,0,77
XGlite Shakuhachi,0,0,78
XGlite Whistle,0,0,79
XGlite Ocarina,0,0,80
XGlite Square Lead 1,0,0,81
XGlite Square Lead 2,0,6,81
